timestamp,channel,signal,peak_to_peak,flags
18501,5,10.909091,10.909091,0
18502,5,8.068182,8.068182,0
18503,5,1.250000,1.250000,0
18504,5,5.909091,5.909091,0
18505,5,10.454545,10.454545,0
18506,5,11.136363,11.136363,0
18507,5,8.522727,8.522727,0
18508,5,1.022727,1.022727,0
18509,5,6.590909,6.590909,0
18510,5,11.704545,11.704545,0
18511,5,11.250000,11.250000,0
18512,5,7.727273,7.727273,0
18513,5,1.250000,1.250000,0
18514,5,6.250000,6.250000,0
18515,5,11.590908,11.590908,0
18516,5,11.590908,11.590908,0
18517,5,8.181818,8.181818,0
18518,5,1.250000,1.250000,0
18519,5,5.909090,5.909090,0
18520,5,11.477272,11.477272,0
18521,5,11.704545,11.704545,0
18522,5,8.522727,8.522727,0
18523,5,1.250000,1.250000,0
18524,5,6.818183,6.818183,0
18525,5,11.477272,11.477272,0
18526,5,11.818181,11.818181,0
18527,5,8.863638,8.863638,0
18528,5,1.250000,1.250000,0
18529,5,6.590910,6.590910,0
18530,5,11.363636,11.363636,0
18531,5,12.045455,12.045455,0
18532,5,7.840910,7.840910,0
18533,5,1.250000,1.250000,0
18534,5,6.477273,6.477273,0
18535,5,12.500000,12.500000,0
18536,5,12.045455,12.045455,0
18537,5,8.181818,8.181818,0
18538,5,1.022727,1.022727,0
18539,5,7.272728,7.272728,0
18540,5,12.386364,12.386364,0
18541,5,12.272728,12.272728,0
18542,5,8.522727,8.522727,0
18543,5,1.250000,1.250000,0
18544,5,7.159090,7.159090,0
18545,5,12.386364,12.386364,0
18546,5,12.386364,12.386364,0
18547,5,8.636363,8.636363,0
18548,5,1.250000,1.250000,0
18549,5,7.045455,7.045455,0
18550,5,12.386364,12.386364,0
18551,5,12.386364,12.386364,0
18552,5,8.977272,8.977272,0
18553,5,1.250000,1.250000,0
18554,5,6.818183,6.818183,0
18555,5,12.386364,12.386364,0
18556,5,12.386364,12.386364,0
18557,5,8.977272,8.977272,0
18558,5,1.250000,1.250000,0
18559,5,6.704545,6.704545,0
